Season,Team,Goals Scored,Points,Goals Conceded
2000/01,Charlton,50,52,57
2000/01,Chelsea,68,61,45
2000/01,Coventry,36,34,63
2000/01,Derby,37,42,59
2000/01,Leeds,64,68,43
2000/01,Leicester,39,48,51
2000/01,Liverpool,71,69,39
2000/01,Sunderland,46,57,41
2000/01,Tottenham,47,49,54
2000/01,Man United,79,80,31
2000/01,Arsenal,63,70,38
2000/01,Bradford,30,26,70
2000/01,Ipswich,57,66,42
2000/01,Middlesbrough,44,42,44
2000/01,Everton,45,42,59
2000/01,Man City,41,34,65
2000/01,Newcastle,44,51,50
2000/01,Southampton,40,52,48
2000/01,West Ham,45,42,50
2000/01,Aston Villa,46,54,43
2001/02,Charlton,38,44,49
2001/02,Derby,33,30,63
2001/02,Leeds,53,66,37
2001/02,Leicester,30,28,64
2001/02,Liverpool,67,80,30
2001/02,Middlesbrough,35,45,47
2001/02,Sunderland,29,40,51
2001/02,Tottenham,49,50,53
2001/02,Chelsea,66,64,38
2001/02,Man United,87,77,45
2001/02,Everton,45,43,57
2001/02,Arsenal,79,87,36
2001/02,Bolton,44,40,62
2001/02,Ipswich,41,36,64
2001/02,Blackburn,55,46,51
2001/02,Fulham,36,44,44
2001/02,Southampton,46,45,54
2001/02,West Ham,48,53,57
2001/02,Aston Villa,46,50,47
2001/02,Newcastle,74,71,52
2002/03,Blackburn,52,60,43
2002/03,Charlton,45,49,56
2002/03,Everton,48,59,49
2002/03,Fulham,41,48,50
2002/03,Leeds,58,47,57
2002/03,Man United,74,83,34
2002/03,Southampton,43,52,46
2002/03,Arsenal,85,78,42
2002/03,Aston Villa,42,45,47
2002/03,Newcastle,63,69,48
2002/03,Chelsea,68,67,38
2002/03,Birmingham,41,48,49
2002/03,Bolton,41,44,51
2002/03,Liverpool,61,64,41
2002/03,Man City,47,51,54
2002/03,Middlesbrough,48,49,44
2002/03,Sunderland,21,19,65
2002/03,Tottenham,51,50,62
2002/03,West Brom,29,26,65
2002/03,West Ham,42,42,59
2003/04,Arsenal,61,77,23
2003/04,Birmingham,39,48,41
2003/04,Blackburn,44,37,49
2003/04,Fulham,45,45,41
2003/04,Leicester,45,33,56
2003/04,Man United,59,66,33
2003/04,Portsmouth,37,35,51
2003/04,Charlton,46,45,48
2003/04,Leeds,34,26,69
2003/04,Liverpool,48,55,31
2003/04,Bolton,42,46,51
2003/04,Chelsea,63,71,27
2003/04,Everton,40,34,50
2003/04,Man City,44,35,45
2003/04,Newcastle,47,52,35
2003/04,Southampton,32,40,35
2003/04,Tottenham,43,41,50
2003/04,Wolves,32,31,65
2003/04,Aston Villa,42,51,37
2003/04,Middlesbrough,40,44,46
2004/05,Aston Villa,41,46,42
2004/05,Blackburn,29,39,37
2004/05,Bolton,44,53,38
2004/05,Man City,42,44,37
2004/05,Middlesbrough,46,46,44
2004/05,Norwich,37,27,67
2004/05,Portsmouth,38,35,53
2004/05,Tottenham,42,48,38
2004/05,Chelsea,62,82,12
2004/05,Everton,40,57,33
2004/05,Birmingham,35,38,42
2004/05,Charlton,40,45,50
2004/05,Crystal Palace,36,27,58
2004/05,Fulham,39,35,53
2004/05,Liverpool,48,54,35
2004/05,Man United,48,67,20
2004/05,Newcastle,42,38,51
2004/05,Southampton,37,28,55
2004/05,Arsenal,73,71,33
2004/05,West Brom,32,29,53
2005/06,Aston Villa,42,42,55
2005/06,Everton,34,50,49
2005/06,Fulham,48,48,58
2005/06,Man City,43,43,48
2005/06,Middlesbrough,48,45,58
2005/06,Portsmouth,37,38,62
2005/06,Sunderland,26,15,69
2005/06,West Ham,52,55,55
2005/06,Arsenal,68,67,31
2005/06,Wigan,45,51,52
2005/06,Birmingham,28,34,50
2005/06,Blackburn,51,63,42
2005/06,Charlton,41,47,55
2005/06,Liverpool,57,82,25
2005/06,Man United,72,83,34
2005/06,Newcastle,47,58,42
2005/06,Tottenham,53,65,38
2005/06,West Brom,31,30,58
2005/06,Bolton,49,56,41
2005/06,Chelsea,72,91,22
2006/07,Arsenal,63,68,35
2006/07,Bolton,47,56,52
2006/07,Everton,52,58,36
2006/07,Newcastle,38,43,47
2006/07,Portsmouth,45,54,42
2006/07,Reading,52,55,47
2006/07,Sheffield United,32,38,55
2006/07,West Ham,35,41,59
2006/07,Chelsea,64,83,24
2006/07,Man United,83,89,27
2006/07,Tottenham,57,60,54
2006/07,Watford,29,28,59
2006/07,Aston Villa,43,50,41
2006/07,Blackburn,52,52,54
2006/07,Charlton,34,34,60
2006/07,Fulham,38,39,60
2006/07,Man City,29,42,44
2006/07,Middlesbrough,44,46,49
2006/07,Liverpool,57,68,27
2006/07,Wigan,37,38,59
2007/08,Aston Villa,71,60,51
2007/08,Bolton,36,37,54
2007/08,Derby,20,11,89
2007/08,Everton,55,65,33
2007/08,Middlesbrough,43,42,53
2007/08,Sunderland,36,39,59
2007/08,West Ham,42,49,50
2007/08,Arsenal,74,83,31
2007/08,Chelsea,65,85,26
2007/08,Man United,80,87,22
2007/08,Tottenham,66,46,61
2007/08,Birmingham,46,35,62
2007/08,Fulham,38,36,60
2007/08,Man City,45,55,53
2007/08,Portsmouth,48,57,40
2007/08,Reading,41,36,66
2007/08,Wigan,34,40,51
2007/08,Newcastle,45,43,65
2007/08,Blackburn,50,58,48
2007/08,Liverpool,67,76,28
2008/09,Arsenal,68,72,37
2008/09,Bolton,41,41,53
2008/09,Everton,55,63,37
2008/09,Hull,39,35,64
2008/09,Middlesbrough,28,32,57
2008/09,Sunderland,34,36,54
2008/09,West Ham,42,51,45
2008/09,Aston Villa,54,62,48
2008/09,Chelsea,68,83,24
2008/09,Man United,68,90,24
2008/09,Blackburn,40,41,60
2008/09,Fulham,39,53,34
2008/09,Liverpool,77,86,27
2008/09,Newcastle,40,34,59
2008/09,Stoke,38,45,55
2008/09,Tottenham,45,51,45
2008/09,West Brom,36,32,67
2008/09,Man City,58,50,50
2008/09,Wigan,34,45,45
2008/09,Portsmouth,38,41,57
2009/10,Aston Villa,52,64,39
2009/10,Blackburn,41,50,55
2009/10,Bolton,42,39,67
2009/10,Chelsea,103,86,32
2009/10,Everton,60,61,49
